STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,RAIL,Rail,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,MAR,Maritime,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,T,Tonnes,RAIL,Rail,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2019,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,T,Tonnes,RAIL,Rail,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,3,Thousands,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,MAR,Maritime,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,RAIL,Rail,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,RAIL,Rail,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,TEU,Twenty-foot equivalent units,MAR,Maritime,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSCONT(1.0),Annual container transport,I,LIE,Liechtenstein,A,Annual,CONTAINER,Container transport,T,Tonnes,RAIL,Rail,_T,Total,_T,Total,2021,,,,M,Missing value; data cannot exist,3,Thousands,1,One
