STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,UKR,Ukraine,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,ROAD,Roads,2019,,163988,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,SRB,Serbia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,ROAD,Roads,2023,,46371,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,SRB,Serbia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,ROAD,Roads,2022,,45963,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,CHL,Chile,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,CHL,Chile,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,AUS,Australia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,AUS,Australia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,AUS,Australia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,AUS,Australia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,AUS,Australia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
