STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,NOR,Norway,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,ROAD,Road,_T,Total,2021,,59211,,E,Estimated value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,NOR,Norway,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,ROAD,Road,_T,Total,2020,,57126,,E,Estimated value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,NOR,Norway,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,ROAD,Road,BUSES,Buses,_T,Total,2020,,5167,,E,Estimated value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUT,Austria,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2021,,8433,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUT,Austria,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2020,,7417,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUT,Austria,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2019,,13350,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUS,Australia,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2021,,8845,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUS,Australia,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2020,,14166,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,AUS,Australia,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2019,,17814,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CZE,Czechia,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2019,,10931,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CHL,Chile,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2022,,957,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CHL,Chile,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2021,,533,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CHL,Chile,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2020,,352,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CHL,Chile,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2019,,721,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2021,,533,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSPASS(1.0),Annual passenger transport,I,CAN,Canada,A,Annual,PASSENGER,Passenger transport,PASKM,Passenger-kilometres,RAIL,Rail,RAIL,Rail,_T,Total,2020,,229,,A,Normal value,6,Millions,1,One
