STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUS,Australia,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2019,,1187,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUS,Australia,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2020,,1094,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUS,Australia,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2021,,1116,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUS,Australia,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2023,,1272,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUT,Austria,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2019,,416,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUT,Austria,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2020,,344,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUT,Austria,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2021,,362,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUT,Austria,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2022,,370,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,AUT,Austria,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2023,,402,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSSAFETY(1.0),"Annual road fatalities, injured, injury crashes",I,BEL,Belgium,A,Annual,FATALITIES,Fatalities,PS,Persons,ROAD,Road,_T,Total,_T,Total,2019,,644,,A,Normal value,0,Units,1,One
